durasi_manhour,id_work_center,id_proses,id_tipe_proses,id_kapasitas,id_kategori_produk,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
1.85,1,1,1,19,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,200,TRASNDORMATOR OIL STANDART,,
0,1,1,2,19,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,200,TRASNDORMATOR OIL STANDART,,
0,1,1,3,19,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,200,TRASNDORMATOR OIL STANDART,,
0.25,1,1,4,19,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),200,TRASNDORMATOR OIL STANDART,,
4.9,1,2,5,19,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,200,TRASNDORMATOR OIL STANDART,,
0,1,2,6,19,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,200,TRASNDORMATOR OIL STANDART,,
0,1,2,7,19,2,COIL MAKING,COIL HV,PRESS COIL,200,TRASNDORMATOR OIL STANDART,,
0,1,2,8,19,2,COIL MAKING,COIL HV,STACKING,200,TRASNDORMATOR OIL STANDART,,
3.25,3,3,9,19,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,200,TRASNDORMATOR OIL STANDART,,
0,3,3,10,19,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,200,TRASNDORMATOR OIL STANDART,,
7,3,3,11,19,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,200,TRASNDORMATOR OIL STANDART,,
2.25,6,4,12,19,2,CONNECT,CONNECTION,RAIL,200,TRASNDORMATOR OIL STANDART,,
1.5,5,5,13,19,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,200,TRASNDORMATOR OIL STANDART,,
1,5,5,37,19,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,200,TRASNDORMATOR OIL STANDART,,
1,5,5,14,19,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,200,TRASNDORMATOR OIL STANDART,,
1,4,6,15,19,2,QC TEST,QC TESTING,ROUTINE TEST,200,TRASNDORMATOR OIL STANDART,,
1.85,1,1,1,20,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,250,TRASNDORMATOR OIL STANDART,,
0,1,1,2,20,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,250,TRASNDORMATOR OIL STANDART,,
0,1,1,3,20,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,250,TRASNDORMATOR OIL STANDART,,
0.25,1,1,4,20,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),250,TRASNDORMATOR OIL STANDART,,
4.9,1,2,5,20,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,250,TRASNDORMATOR OIL STANDART,,
0,1,2,6,20,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,250,TRASNDORMATOR OIL STANDART,,
0,1,2,7,20,2,COIL MAKING,COIL HV,PRESS COIL,250,TRASNDORMATOR OIL STANDART,,
0,1,2,8,20,2,COIL MAKING,COIL HV,STACKING,250,TRASNDORMATOR OIL STANDART,,
3.25,3,3,9,20,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,250,TRASNDORMATOR OIL STANDART,,
0,3,3,10,20,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,250,TRASNDORMATOR OIL STANDART,,
7.25,3,3,11,20,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,250,TRASNDORMATOR OIL STANDART,,
3.75,6,4,12,20,2,CONNECT,CONNECTION,RAIL,250,TRASNDORMATOR OIL STANDART,,
2,5,5,13,20,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,250,TRASNDORMATOR OIL STANDART,,
1,5,5,37,20,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,250,TRASNDORMATOR OIL STANDART,,
1,5,5,14,20,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,250,TRASNDORMATOR OIL STANDART,,
1,4,6,15,20,2,QC TEST,QC TESTING,ROUTINE TEST,250,TRASNDORMATOR OIL STANDART,,
4.25,1,1,1,25,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,400,TRASNDORMATOR OIL STANDART,,
0,1,1,2,25,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,400,TRASNDORMATOR OIL STANDART,,
0,1,1,3,25,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,400,TRASNDORMATOR OIL STANDART,,
0.5,1,1,4,25,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),400,TRASNDORMATOR OIL STANDART,,
11.5,1,2,5,25,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,400,TRASNDORMATOR OIL STANDART,,
0,1,2,6,25,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,400,TRASNDORMATOR OIL STANDART,,
0,1,2,7,25,2,COIL MAKING,COIL HV,PRESS COIL,400,TRASNDORMATOR OIL STANDART,,
0.5,1,2,8,25,2,COIL MAKING,COIL HV,STACKING,400,TRASNDORMATOR OIL STANDART,,
3.5,3,3,9,25,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,400,TRASNDORMATOR OIL STANDART,,
0,3,3,10,25,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,400,TRASNDORMATOR OIL STANDART,,
0,3,3,11,25,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,400,TRASNDORMATOR OIL STANDART,,
2.5,6,4,12,25,2,CONNECT,CONNECTION,RAIL,400,TRASNDORMATOR OIL STANDART,,
2,5,5,13,25,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,400,TRASNDORMATOR OIL STANDART,,
1.25,5,5,37,25,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,400,TRASNDORMATOR OIL STANDART,,
1.25,5,5,14,25,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,400,TRASNDORMATOR OIL STANDART,,
1,4,6,15,25,2,QC TEST,QC TESTING,ROUTINE TEST,400,TRASNDORMATOR OIL STANDART,,
4.25,1,1,1,26,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,500,TRASNDORMATOR OIL STANDART,,
0,1,1,2,26,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,500,TRASNDORMATOR OIL STANDART,,
0,1,1,3,26,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,500,TRASNDORMATOR OIL STANDART,,
0.5,1,1,4,26,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),500,TRASNDORMATOR OIL STANDART,,
11.5,1,2,5,26,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,500,TRASNDORMATOR OIL STANDART,,
0,1,2,6,26,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,500,TRASNDORMATOR OIL STANDART,,
0,1,2,7,26,2,COIL MAKING,COIL HV,PRESS COIL,500,TRASNDORMATOR OIL STANDART,,
0.5,1,2,8,26,2,COIL MAKING,COIL HV,STACKING,500,TRASNDORMATOR OIL STANDART,,
4.03,3,3,9,26,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,500,TRASNDORMATOR OIL STANDART,,
0,3,3,10,26,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,500,TRASNDORMATOR OIL STANDART,,
0,3,3,11,26,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,500,TRASNDORMATOR OIL STANDART,,
2.5,6,4,12,26,2,CONNECT,CONNECTION,RAIL,500,TRASNDORMATOR OIL STANDART,,
2.25,5,5,13,26,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,500,TRASNDORMATOR OIL STANDART,,
1.5,5,5,37,26,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,500,TRASNDORMATOR OIL STANDART,,
1.25,5,5,14,26,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,500,TRASNDORMATOR OIL STANDART,,
1.35,4,6,15,26,2,QC TEST,QC TESTING,ROUTINE TEST,500,TRASNDORMATOR OIL STANDART,,
4.25,1,1,1,28,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,630,TRASNDORMATOR OIL STANDART,,
0,1,1,2,28,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,630,TRASNDORMATOR OIL STANDART,,
0,1,1,3,28,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,630,TRASNDORMATOR OIL STANDART,,
0.5,1,1,4,28,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),630,TRASNDORMATOR OIL STANDART,,
13.25,1,2,5,28,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,630,TRASNDORMATOR OIL STANDART,,
0,1,2,6,28,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,630,TRASNDORMATOR OIL STANDART,,
13.25,1,2,7,28,2,COIL MAKING,COIL HV,PRESS COIL,630,TRASNDORMATOR OIL STANDART,,
0.5,1,2,8,28,2,COIL MAKING,COIL HV,STACKING,630,TRASNDORMATOR OIL STANDART,,
3.53,3,3,9,28,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,630,TRASNDORMATOR OIL STANDART,,
0,3,3,10,28,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,630,TRASNDORMATOR OIL STANDART,,
0,3,3,11,28,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,630,TRASNDORMATOR OIL STANDART,,
2.75,6,4,12,28,2,CONNECT,CONNECTION,RAIL,630,TRASNDORMATOR OIL STANDART,,
2.25,5,5,13,28,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,630,TRASNDORMATOR OIL STANDART,,
1.5,5,5,37,28,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,630,TRASNDORMATOR OIL STANDART,,
1.25,5,5,14,28,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,630,TRASNDORMATOR OIL STANDART,,
1.35,4,6,15,28,2,QC TEST,QC TESTING,ROUTINE TEST,630,TRASNDORMATOR OIL STANDART,,
4.5,1,1,1,30,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,800,TRASNDORMATOR OIL STANDART,,
0,1,1,2,30,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,800,TRASNDORMATOR OIL STANDART,,
0,1,1,3,30,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,800,TRASNDORMATOR OIL STANDART,,
0.5,1,1,4,30,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),800,TRASNDORMATOR OIL STANDART,,
13.25,1,2,5,30,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,800,TRASNDORMATOR OIL STANDART,,
0,1,2,6,30,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,800,TRASNDORMATOR OIL STANDART,,
13.25,1,2,7,30,2,COIL MAKING,COIL HV,PRESS COIL,800,TRASNDORMATOR OIL STANDART,,
0.5,1,2,8,30,2,COIL MAKING,COIL HV,STACKING,800,TRASNDORMATOR OIL STANDART,,
5.75,3,3,9,30,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,800,TRASNDORMATOR OIL STANDART,,
0,3,3,10,30,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,800,TRASNDORMATOR OIL STANDART,,
0,3,3,11,30,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,800,TRASNDORMATOR OIL STANDART,,
2.75,6,4,12,30,2,CONNECT,CONNECTION,RAIL,800,TRASNDORMATOR OIL STANDART,,
4,5,5,13,30,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,800,TRASNDORMATOR OIL STANDART,,
1.5,5,5,14,30,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,800,TRASNDORMATOR OIL STANDART,,
1.5,5,5,15,30,2,FINAL ASSEMBLY,FINAL ASSEMBLY,ROUTINE TEST,800,TRASNDORMATOR OIL STANDART,,
1.35,4,6,16,30,2,QC TEST,QC TESTING,SHEET KONDUKTOR (2 SECTION),800,TRASNDORMATOR OIL STANDART,,
4.5,1,1,1,31,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,1000,TRASNDORMATOR OIL STANDART,,
4.5,1,1,2,31,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,1000,TRASNDORMATOR OIL STANDART,,
0,1,1,3,31,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,1000,TRASNDORMATOR OIL STANDART,,
0.75,1,1,4,31,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),1000,TRASNDORMATOR OIL STANDART,,
0,1,2,5,31,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,1000,TRASNDORMATOR OIL STANDART,,
13.25,1,2,6,31,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,1000,TRASNDORMATOR OIL STANDART,,
13.25,1,2,7,31,2,COIL MAKING,COIL HV,PRESS COIL,1000,TRASNDORMATOR OIL STANDART,,
0.5,1,2,8,31,2,COIL MAKING,COIL HV,STACKING,1000,TRASNDORMATOR OIL STANDART,,
5.75,3,3,9,31,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,1000,TRASNDORMATOR OIL STANDART,,
0,3,3,10,31,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,1000,TRASNDORMATOR OIL STANDART,,
0,3,3,11,31,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,1000,TRASNDORMATOR OIL STANDART,,
3,6,4,12,31,2,CONNECT,CONNECTION,RAIL,1000,TRASNDORMATOR OIL STANDART,,
4.5,5,5,13,31,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,1000,TRASNDORMATOR OIL STANDART,,
1.53,5,5,14,31,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,1000,TRASNDORMATOR OIL STANDART,,
1.5,5,5,15,31,2,FINAL ASSEMBLY,FINAL ASSEMBLY,ROUTINE TEST,1000,TRASNDORMATOR OIL STANDART,,
1.35,4,6,16,31,2,QC TEST,QC TESTING,SHEET KONDUKTOR (2 SECTION),1000,TRASNDORMATOR OIL STANDART,,
4.5,1,1,1,32,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,1250,TRASNDORMATOR OIL STANDART,,
0,1,1,2,32,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,1250,TRASNDORMATOR OIL STANDART,,
0,1,1,3,32,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,1250,TRASNDORMATOR OIL STANDART,,
0.75,1,1,4,32,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),1250,TRASNDORMATOR OIL STANDART,,
13.25,1,2,5,32,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,1250,TRASNDORMATOR OIL STANDART,,
0,1,2,6,32,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,1250,TRASNDORMATOR OIL STANDART,,
13.25,1,2,7,32,2,COIL MAKING,COIL HV,PRESS COIL,1250,TRASNDORMATOR OIL STANDART,,
0.5,1,2,8,32,2,COIL MAKING,COIL HV,STACKING,1250,TRASNDORMATOR OIL STANDART,,
6.5,3,3,9,32,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,1250,TRASNDORMATOR OIL STANDART,,
0,3,3,10,32,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,1250,TRASNDORMATOR OIL STANDART,,
0,3,3,11,32,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,1250,TRASNDORMATOR OIL STANDART,,
3.25,6,4,12,32,2,CONNECT,CONNECTION,RAIL,1250,TRASNDORMATOR OIL STANDART,,
5,5,5,13,32,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,1250,TRASNDORMATOR OIL STANDART,,
2.25,5,5,14,32,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,1250,TRASNDORMATOR OIL STANDART,,
1.5,5,5,15,32,2,FINAL ASSEMBLY,FINAL ASSEMBLY,ROUTINE TEST,1250,TRASNDORMATOR OIL STANDART,,
1.35,4,6,16,32,2,QC TEST,QC TESTING,SHEET KONDUKTOR (2 SECTION),1250,TRASNDORMATOR OIL STANDART,,
5.5,1,1,1,33,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,1600,TRASNDORMATOR OIL STANDART,,
5.5,1,1,2,33,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,1600,TRASNDORMATOR OIL STANDART,,
0,1,1,3,33,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,1600,TRASNDORMATOR OIL STANDART,,
1,1,1,4,33,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),1600,TRASNDORMATOR OIL STANDART,,
0,1,2,5,33,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,1600,TRASNDORMATOR OIL STANDART,,
0,1,2,6,33,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,1600,TRASNDORMATOR OIL STANDART,,
15.5,1,2,7,33,2,COIL MAKING,COIL HV,PRESS COIL,1600,TRASNDORMATOR OIL STANDART,,
0.75,1,2,8,33,2,COIL MAKING,COIL HV,STACKING,1600,TRASNDORMATOR OIL STANDART,,
7,3,3,9,33,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,1600,TRASNDORMATOR OIL STANDART,,
0,3,3,10,33,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,1600,TRASNDORMATOR OIL STANDART,,
