durasi_manhour,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.8,QC,Test QC,Test QC,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.33,Coil CTVT,Balut core CT,Balut core CT,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.33,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.5,Coil CTVT,Solder,Solder,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.8,QC,Test QC,Test QC,TCI-24-3B2-2B-2E-3C(DobleRatio),CTVT,,
0.33,Coil CTVT,Balut core CT,Balut core CT,TCI-24-4B(CTCORONG),CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,TCI-24-4B(CTCORONG),CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,TCI-24-4B(CTCORONG),CTVT,,
0.67,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,TCI-24-4B(CTCORONG),CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,TCI-24-4B(CTCORONG),CTVT,,
1,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,TCI-24-4B(CTCORONG),CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,TCI-24-4B(CTCORONG),CTVT,,
0.5,Coil CTVT,Solder,Solder,TCI-24-4B(CTCORONG),CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,TCI-24-4B(CTCORONG),CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,TCI-24-4B(CTCORONG),CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,TCI-24-4B(CTCORONG),CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,TCI-24-4B(CTCORONG),CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,TCI-24-4B(CTCORONG),CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,TCI-24-4B(CTCORONG),CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,TCI-24-4B(CTCORONG),CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,TCI-24-4B(CTCORONG),CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,TCI-24-4B(CTCORONG),CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,TCI-24-4B(CTCORONG),CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,TCI-24-4B(CTCORONG),CTVT,,
0.65,Final Assembly,Proses gerinda,Proses gerinda,TCI-24-4B(CTCORONG),CTVT,,
0.2,Final Assembly,Proses cat,Proses cat,TCI-24-4B(CTCORONG),CTVT,,
0.15,Final Assembly,Pasang acesoris,Pasang acesoris,TCI-24-4B(CTCORONG),CTVT,,
0.8,QC,Test QC,Test QC,TCI-24-4B(CTCORONG),CTVT,,
0.33,Coil CTVT,Balut core CT,Balut core CT,TCI-24-4C(CTBAMBU),CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,TCI-24-4C(CTBAMBU),CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,TCI-24-4C(CTBAMBU),CTVT,,
0.67,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,TCI-24-4C(CTBAMBU),CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,TCI-24-4C(CTBAMBU),CTVT,,
0.75,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,TCI-24-4C(CTBAMBU),CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,TCI-24-4C(CTBAMBU),CTVT,,
0.5,Coil CTVT,Solder,Solder,TCI-24-4C(CTBAMBU),CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,TCI-24-4C(CTBAMBU),CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,TCI-24-4C(CTBAMBU),CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,TCI-24-4C(CTBAMBU),CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,TCI-24-4C(CTBAMBU),CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,TCI-24-4C(CTBAMBU),CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,TCI-24-4C(CTBAMBU),CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,TCI-24-4C(CTBAMBU),CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,TCI-24-4C(CTBAMBU),CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,TCI-24-4C(CTBAMBU),CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,TCI-24-4C(CTBAMBU),CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,TCI-24-4C(CTBAMBU),CTVT,,
0.65,Final Assembly,Proses gerinda,Proses gerinda,TCI-24-4C(CTBAMBU),CTVT,,
0.2,Final Assembly,Proses cat,Proses cat,TCI-24-4C(CTBAMBU),CTVT,,
0.15,Final Assembly,Pasang acesoris,Pasang acesoris,TCI-24-4C(CTBAMBU),CTVT,,
0.8,QC,Test QC,Test QC,TCI-24-4C(CTBAMBU),CTVT,,
0.17,Coil CTVT,Balut core CT,Balut core CT,CT-24(O)-1C1R-2R,CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,CT-24(O)-1C1R-2R,CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,CT-24(O)-1C1R-2R,CTVT,,
0.25,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,CT-24(O)-1C1R-2R,CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,CT-24(O)-1C1R-2R,CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,CT-24(O)-1C1R-2R,CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,CT-24(O)-1C1R-2R,CTVT,,
0.5,Coil CTVT,Solder,Solder,CT-24(O)-1C1R-2R,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,CT-24(O)-1C1R-2R,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,CT-24(O)-1C1R-2R,CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,CT-24(O)-1C1R-2R,CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,CT-24(O)-1C1R-2R,CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,CT-24(O)-1C1R-2R,CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,CT-24(O)-1C1R-2R,CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,CT-24(O)-1C1R-2R,CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,CT-24(O)-1C1R-2R,CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,CT-24(O)-1C1R-2R,CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,CT-24(O)-1C1R-2R,CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,CT-24(O)-1C1R-2R,CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,CT-24(O)-1C1R-2R,CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,CT-24(O)-1C1R-2R,CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,CT-24(O)-1C1R-2R,CTVT,,
0.8,QC,Test QC,Test QC,CT-24(O)-1C1R-2R,CTVT,,
0.17,Coil CTVT,Balut core CT,Balut core CT,CT-24(O)-2C1R-2C2R,CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,CT-24(O)-2C1R-2C2R,CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,CT-24(O)-2C1R-2C2R,CTVT,,
0.25,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,CT-24(O)-2C1R-2C2R,CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,CT-24(O)-2C1R-2C2R,CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,CT-24(O)-2C1R-2C2R,CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,CT-24(O)-2C1R-2C2R,CTVT,,
0.5,Coil CTVT,Solder,Solder,CT-24(O)-2C1R-2C2R,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,CT-24(O)-2C1R-2C2R,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,CT-24(O)-2C1R-2C2R,CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,CT-24(O)-2C1R-2C2R,CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,CT-24(O)-2C1R-2C2R,CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,CT-24(O)-2C1R-2C2R,CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,CT-24(O)-2C1R-2C2R,CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,CT-24(O)-2C1R-2C2R,CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,CT-24(O)-2C1R-2C2R,CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,CT-24(O)-2C1R-2C2R,CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,CT-24(O)-2C1R-2C2R,CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,CT-24(O)-2C1R-2C2R,CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,CT-24(O)-2C1R-2C2R,CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,CT-24(O)-2C1R-2C2R,CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,CT-24(O)-2C1R-2C2R,CTVT,,
0.8,QC,Test QC,Test QC,CT-24(O)-2C1R-2C2R,CTVT,,
0.17,Coil CTVT,Balut core CT,Balut core CT,CTB-12,CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,CTB-12,CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,CTB-12,CTVT,,
0.25,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,CTB-12,CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,CTB-12,CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,CTB-12,CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,CTB-12,CTVT,,
0.5,Coil CTVT,Solder,Solder,CTB-12,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,CTB-12,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,CTB-12,CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,CTB-12,CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,CTB-12,CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,CTB-12,CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,CTB-12,CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,CTB-12,CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,CTB-12,CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,CTB-12,CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,CTB-12,CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,CTB-12,CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,CTB-12,CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,CTB-12,CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,CTB-12,CTVT,,
0.8,QC,Test QC,Test QC,CTB-12,CTVT,,
0.33,Coil CTVT,Balut core CT,Balut core CT,CTB-12-2,CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,CTB-12-2,CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,CTB-12-2,CTVT,,
0.67,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,CTB-12-2,CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,CTB-12-2,CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,CTB-12-2,CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,CTB-12-2,CTVT,,
0.67,Coil CTVT,Solder,Solder,CTB-12-2,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,CTB-12-2,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,CTB-12-2,CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,CTB-12-2,CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,CTB-12-2,CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,CTB-12-2,CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,CTB-12-2,CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,CTB-12-2,CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,CTB-12-2,CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,CTB-12-2,CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,CTB-12-2,CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,CTB-12-2,CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,CTB-12-2,CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,CTB-12-2,CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,CTB-12-2,CTVT,,
0.8,QC,Test QC,Test QC,CTB-12-2,CTVT,,
0.33,Coil CTVT,Balut core CT,Balut core CT,CTB-12A,CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,CTB-12A,CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,CTB-12A,CTVT,,
0.33,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,CTB-12A,CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,CTB-12A,CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,CTB-12A,CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,CTB-12A,CTVT,,
0.5,Coil CTVT,Solder,Solder,CTB-12A,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,CTB-12A,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,CTB-12A,CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,CTB-12A,CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,CTB-12A,CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,CTB-12A,CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,CTB-12A,CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,CTB-12A,CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,CTB-12A,CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,CTB-12A,CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,CTB-12A,CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,CTB-12A,CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,CTB-12A,CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,CTB-12A,CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,CTB-12A,CTVT,,
0.8,QC,Test QC,Test QC,CTB-12A,CTVT,,
0.33,Coil CTVT,Balut core CT,Balut core CT,CTB-12-2A,CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,CTB-12-2A,CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,CTB-12-2A,CTVT,,
0.67,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,CTB-12-2A,CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,CTB-12-2A,CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,CTB-12-2A,CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,CTB-12-2A,CTVT,,
0.67,Coil CTVT,Solder,Solder,CTB-12-2A,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,CTB-12-2A,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,CTB-12-2A,CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,CTB-12-2A,CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,CTB-12-2A,CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,CTB-12-2A,CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,CTB-12-2A,CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,CTB-12-2A,CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,CTB-12-2A,CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,CTB-12-2A,CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,CTB-12-2A,CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,CTB-12-2A,CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,CTB-12-2A,CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,CTB-12-2A,CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,CTB-12-2A,CTVT,,
0.8,QC,Test QC,Test QC,CTB-12-2A,CTVT,,
0.17,Coil CTVT,Balut core CT,Balut core CT,CTB-24,CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,CTB-24,CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,CTB-24,CTVT,,
0.25,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,CTB-24,CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,CTB-24,CTVT,,
